question_id,source_dataset,question,ground_truth_answer,closed_book_answer,open_book_answer,closed_book_correct,open_book_correct,supporting_facts_retrieved,error_type,error_subtype,cot_closed_correct,cot_open_correct,confidence_score_closed,confidence_score_open,num_hops_required,domain
Q001,Natural Questions,What is the capital of Australia?,Canberra,Sydney,Canberra,0,1,1,knowledge,factual_recall,0,1,0.61,0.94,1,geography
Q002,Natural Questions,Who invented the telephone?,Alexander Graham Bell,Alexander Graham Bell,Alexander Graham Bell,1,1,1,none,none,1,1,0.97,0.99,1,history
Q003,Natural Questions,In what year was the Eiffel Tower completed?,1889,1887,1889,0,1,1,knowledge,factual_recall,0,1,0.55,0.91,1,history
Q004,Natural Questions,What is the largest ocean on Earth?,Pacific Ocean,Pacific Ocean,Pacific Ocean,1,1,1,none,none,1,1,0.99,0.99,1,geography
Q005,Natural Questions,Who wrote the novel 1984?,George Orwell,George Orwell,George Orwell,1,1,1,none,none,1,1,0.98,0.99,1,literature
Q006,Natural Questions,What element has the atomic number 79?,Gold,Silver,Gold,0,1,1,knowledge,factual_recall,0,1,0.48,0.93,1,science
Q007,Natural Questions,What is the chemical formula for water?,H2O,H2O,H2O,1,1,1,none,none,1,1,0.99,0.99,1,science
Q008,Natural Questions,Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci,Leonardo da Vinci,1,1,1,none,none,1,1,0.99,0.99,1,art
Q009,Natural Questions,Which planet is closest to the Sun?,Mercury,Mercury,Mercury,1,1,1,none,none,1,1,0.97,0.99,1,science
Q010,Natural Questions,What is the longest river in the world?,Nile,Amazon,Nile,0,1,1,knowledge,factual_recall,0,1,0.42,0.88,1,geography
Q011,Natural Questions,Who was the first person to walk on the Moon?,Neil Armstrong,Neil Armstrong,Neil Armstrong,1,1,1,none,none,1,1,0.99,0.99,1,history
Q012,Natural Questions,What year did World War II end?,1945,1945,1945,1,1,1,none,none,1,1,0.98,0.99,1,history
Q013,Natural Questions,What is the speed of light in a vacuum?,299792458 m/s,300000 km/s,299792458 m/s,0,1,1,knowledge,factual_precision,1,1,0.65,0.95,1,science
Q014,Natural Questions,Who is the author of the Harry Potter series?,J.K. Rowling,J.K. Rowling,J.K. Rowling,1,1,1,none,none,1,1,0.99,0.99,1,literature
Q015,Natural Questions,What is the smallest country in the world by area?,Vatican City,Monaco,Vatican City,0,1,1,knowledge,factual_recall,0,1,0.45,0.92,1,geography
Q016,Natural Questions,What is the main language spoken in Brazil?,Portuguese,Spanish,Portuguese,0,1,1,knowledge,factual_recall,0,1,0.52,0.91,1,culture
Q017,Natural Questions,Who developed the theory of general relativity?,Albert Einstein,Albert Einstein,Albert Einstein,1,1,1,none,none,1,1,0.99,0.99,1,science
Q018,Natural Questions,What is the boiling point of water in Celsius?,100,100,100,1,1,1,none,none,1,1,0.99,0.99,1,science
Q019,Natural Questions,What country has the highest population?,China,China,China,1,1,1,none,none,1,1,0.89,0.96,1,geography
Q020,Natural Questions,In what city is the Colosseum located?,Rome,Rome,Rome,1,1,1,none,none,1,1,0.99,0.99,1,history
Q021,TriviaQA,What organ produces insulin?,Pancreas,Pancreas,Pancreas,1,1,1,none,none,1,1,0.96,0.98,1,science
Q022,TriviaQA,What is the hardest natural substance on Earth?,Diamond,Diamond,Diamond,1,1,1,none,none,1,1,0.99,0.99,1,science
