id,question,answer,source,focus_area
1,What is (are) Diabetes ?,"Too Much Glucose in the Blood Diabetes means your blood glucose (often called blood sugar) is too high. Your blood always has some glucose in it because your body needs glucose for energy to keep you going. But too much glucose in the blood isn't good for your health. Glucose comes from the food you eat and is also made in your liver and muscles. Your blood carries the glucose to all of the cells in your body. Insulin is a chemical (a hormone) made by the pancreas. The pancreas releases insulin into the blood. Insulin helps the glucose from food get into your cells. If your body does not make enough insulin or if the insulin doesn't work the way it should, glucose can't get into your cells. It stays in your blood instead. Your blood glucose level then gets too high, causing pre-diabetes or diabetes. Types of Diabetes There are three main kinds of diabetes: type 1, type 2, and gestational diabetes. The result of type 1 and type 2 diabetes is the same: glucose builds up in the blood, while the cells are starved of energy. Over the years, high blood glucose damages nerves and blood vessels, oftentimes leading to complications such as heart disease, stroke, blindness, kidney disease, nerve problems, gum infections, and amputation. Type 1 Diabetes Type 1 diabetes, which used to be called called juvenile diabetes or insulin-dependent diabetes, develops most often in young people. However, type 1 diabetes can also develop in adults. With this form of diabetes, your body no longer makes insulin or doesnt make enough insulin because your immune system has attacked and destroyed the insulin-producing cells. About 5 to 10 percent of people with diabetes have type 1 diabetes. To survive, people with type 1 diabetes must have insulin delivered by injection or a pump. Learn more about type 1 diabetes here. Type 2 Diabetes Type 2 diabetes, which used to be called adult-onset diabetes or non insulin-dependent diabetes, is the most common form of diabetes. Although people can develop type 2 diabetes at any age -- even during childhood -- type 2 diabetes develops most often in middle-aged and older people. Type 2 diabetes usually begins with insulin resistancea condition that occurs when fat, muscle, and liver cells do not use insulin to carry glucose into the bodys cells to use for energy. As a result, the body needs more insulin to help glucose enter cells. At first, the pancreas keeps up with the added demand by making more insulin. Over time, the pancreas doesnt make enough insulin when blood sugar levels increase, such as after meals. If your pancreas can no longer make enough insulin, you will need to treat your type 2 diabetes. Learn more about type 2 diabetes here. Gestational Diabetes Some women develop gestational diabetes during the late stages of pregnancy. Gestational diabetes is caused by the hormones of pregnancy or a shortage of insulin. Although this form of diabetes usually goes away after the baby is born, a woman who has had it and her child are more likely to develop diabetes later in life. Prediabetes Prediabetes means your blood glucose levels are higher than normal but not high enough for a diagnosis of diabetes. People with prediabetes are at an increased risk for developing type 2 diabetes and for heart disease and stroke. The good news is that if you have prediabetes, you can reduce your risk of getting type 2 diabetes. With modest weight loss and moderate physical activity, you can delay or prevent type 2 diabetes.  Learn more about prediabetes here.  Signs of Diabetes Many people with diabetes experience one or more symptoms, including extreme thirst or hunger, a frequent need to urinate and/or fatigue. Some lose weight without trying. Additional signs include sores that heal slowly, dry, itchy skin, loss of feeling or tingling in the feet and blurry eyesight. Some people with diabetes, however, have no symptoms at all. How Many Have Diabetes? Nearly 29 million Americans age 20 or older (12.3 percent of all people in this age group) have diabetes, according to 2014 estimates from the Centers for Disease Control and Prevention (CDC). About 1.9 million people aged 20 years or older were newly diagnosed with diabetes in 2010 alone. People can get diabetes at any age, but the risk increases as we get older. In 2014, over 11 million older adults living in the U.S -- nearly 26 percent of people 65 or older -- had diabetes. See more statistics about diabetes from the  National Diabetes Statistics Report 2014. (Centers for Disease Control and Prevention.) If Diabetes is Not Managed Diabetes is a very serious disease. Over time, diabetes that is not well managed causes serious damage to the eyes, kidneys, nerves, heart, gums and teeth. If you have diabetes, you are more likely than people without diabetes to have heart disease or a stroke. People with diabetes also tend to develop heart disease or stroke at an earlier age than others. The best way to protect yourself from the serious complications of diabetes is to manage your blood glucose, blood pressure and cholesterol and to avoid smoking. It is not always easy, but people who make an ongoing effort to manage their diabetes can greatly improve their overall health.",NIHSeniorHealth,Diabetes
1,Who is at risk for Diabetes? ?,"Diabetes is a serious, life-long disease. It can lead to problems such as heart disease, stroke, vision loss, kidney disease, and nerve damage. More than 8 million people in the United States have type 2 diabetes and dont know it. Many people dont find out they have diabetes until they are faced with problems such as blurry vision or heart trouble. Certain factors can increase your risk for diabetes, and its important to know what they are. Type 1 Diabetes Type 1 diabetes is an autoimmune disease. In an autoimmune reaction, antibodies, or immune cells, attach to the bodys own healthy tissues by mistake, signaling the body to attack them. At present, scientists do not know exactly what causes the body's immune system to attack the cells, but many believe that both genetic factors and environmental factors, such as viruses, are involved. Studies are now underway to identify these factors and prevent type 1 diabetes in people at risk.  Learn more about the causes of type 1 diabetes.  Type 2 Diabetes Type 2 diabetes -- the most common form -- is linked closely to overweight and obesity, high blood pressure, and abnormal cholesterol levels. Many people with type 2 diabetes are overweight. Being overweight can keep your body from using insulin properly. Genes also play an important role in a person's risk for type 2 diabetes. Having certain genes or combinations of genes may increase or decrease a persons risk for developing the disease.  Here are the risk factors for type 2 diabetes. -  being over 45 years of age  -  being overweight or obese  - having a first-degree relative -- a parent, brother, or sister -- with diabetes  - being African American, American Indian or Alaska Native, Asian American or Pacific Islander, or Hispanic American/Latino. (Watch the video to learn more about native Americans and diabetes risk. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) being over 45 years of age being overweight or obese having a first-degree relative -- a parent, brother, or sister -- with diabetes being African American, American Indian or Alaska Native, Asian American or Pacific Islander, or Hispanic American/Latino. (Watch the video to learn more about native Americans and diabetes risk. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) - having gestational diabetes, or giving birth to at least one baby weighing more than 9 pounds  - having blood pressure of 140/90 or higher, or having been told that you have high blood pressure.  - having abnormal cholesterol levels -- an HDL cholesterol level of 35 or lower, or a triglyceride level of 250 or higher  - being inactive or exercising fewer than three times a week.  - having polycystic ovary syndrome, also called PCOS (women only)  - on previous testing, having prediabetes (an A1C level of 5.7 to 6.4 percent), impaired glucose tolerance (IGT) or impaired fasting glucose (IFG)  - history of cardiovascular disease (disease affecting the heart and blood vessels). having gestational diabetes, or giving birth to at least one baby weighing more than 9 pounds having blood pressure of 140/90 or higher, or having been told that you have high blood pressure. having abnormal cholesterol levels -- an HDL cholesterol level of 35 or lower, or a triglyceride level of 250 or higher being inactive or exercising fewer than three times a week. having polycystic ovary syndrome, also called PCOS (women only) on previous testing, having prediabetes (an A1C level of 5.7 to 6.4 percent), impaired glucose tolerance (IGT) or impaired fasting glucose (IFG) history of cardiovascular disease (disease affecting the heart and blood vessels).  Learn more about the causes of type 2 diabetes.  Prediabetes and Type 2 Diabetes Before people develop type 2 diabetes, they usually have prediabetes -- a condition in which blood glucose levels are higher than normal, but not high enough for a diagnosis of diabetes. People with prediabetes are more likely to develop diabetes within 10 years and also are more likely to have a heart attack or stroke. Prediabetes is increasingly common in the U.S. adult population. In 2012, about 86 million people in the U.S. had pre-diabetes, and 51% of those 65 or older had prediabetes. Learn more about prediabetes.  Gestational Diabetes Some women develop diabetes during the late stages of pregnancy. This is called gestational diabetes. Although this form of diabetes usually goes away after the baby is born, a woman who has had it has a lifelong risk for developing diabetes, mostly type 2.",NIHSeniorHealth,Diabetes
1,How to prevent Diabetes ?,"The two most common forms of diabetes are type 1 and type 2. Currently, there is no way to delay or prevent type 1 diabetes. However, research has shown that type 2 diabetes can be prevented or delayed in people at risk for the disease. Preventing type 2 diabetes can mean a healthier and longer life without serious complications from the disease such as heart disease, stroke, blindness, kidney failure, and amputations. Preventing Type 2 Diabetes Before people develop type 2 diabetes, they usually have prediabetes -- a condition in which blood glucose levels are higher than normal, but not yet high enough for a diagnosis of diabetes. The good news is that if you have prediabetes, there are ways to reduce your risk of getting type 2 diabetes. With modest weight loss and moderate physical activity, you can delay or prevent type 2 diabetes Benefits of Weight Loss and Exercise  The Diabetes Prevention Program (DPP) is a landmark study by the National Institute of Diabetes and Digestive and Kidney Diseases. DPP researchers found that adults at high risk for type 2 diabetes were able to cut their risk in half by losing a modest amount of weight and being active almost every day. This means losing 5 to 7 percent of body weight (that's 10 pounds if you weigh 200 pounds) and getting 150 minutes of physical activity a week. The drug metformin reduced the risk of type 2 diabetes by 34 percent but was more effective in younger and heavier adults. (Watch the video to learn more about preventing type 2 diabetes. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) The benefits of weight loss and regular exercise have long-lasting value. In a DPP follow-up trial known as the Diabetes Prevention Program Outcome Study (DPPOS), people at risk of type 2 diabetes who kept off the weight they had lost and who continued to exercise regularly delayed the onset of type 2 diabetes by about 4 years. The DPP study also showed that modest weight loss (achieved by following a low calorie, low-fat diet) and moderate physical activity were especially effective in preventing or delaying the development of diabetes in older people. In fact, people over the age of 60 were able to reduce their risk for developing type 2 diabetes by 71 percent. How to Lower Your Risk Making modest lifestyle changes can help prevent or delay type 2 diabetes in people who are at risk. Here are some tips. Reach and Maintain a Reasonable Body Weight Your weight affects your health in many ways. Being overweight can keep your body from making and using insulin properly. It can also cause high blood pressure. The Body Mass Index chart  (seen here) can be used to find out whether someone is normal weight, overweight, or obese. Body mass index is a measurement of body weight relative to height for adults age 20 or older. To use the chart -  find the person's height in the left-hand column   -  move across the row to find the number closest to the person's weight   -  find the number at the top of that column   - The number at the top of the column is the persons BMI. find the person's height in the left-hand column move across the row to find the number closest to the person's weight find the number at the top of that column The number at the top of the column is the persons BMI. The words above the BMI number indicate whether the person is normal weight, overweight, or obese. People who are overweight or obese should consider talking with a health care provider about ways to lose weight and reduce the risk of diabetes. The BMI has certain limitations. The BMI may overestimate body fat in athletes and others who have a muscular build and underestimate body fat in older adults and others who have lost muscle.  Waist Measurement. In addition to weight, the location of excess fat on the body can be important. A waist measurement of 40 inches or more for men and 35 inches or more for women is linked to insulin resistance and increases a persons risk for type 2 diabetes. This is true even if a persons body mass index (BMI) falls within the normal range. To measure the waist, a person should - place a tape measure around the bare abdomen just above the hip bone  - make sure the tape is snug but isnt digging into the skin and is parallel to the floor  - relax, exhale, and measure. place a tape measure around the bare abdomen just above the hip bone make sure the tape is snug but isnt digging into the skin and is parallel to the floor relax, exhale, and measure. Make Healthy Food Choices What you eat has a big impact on your weight and overall health. By developing healthy eating habits, you can help manage your body weight, blood pressure, and cholesterol. Reducing portion size, increasing the amount of fiber you consume (by eating more fruits and vegetables) and limiting fatty and salty foods are key to a healthy diet. Here are more tips for eating well with diabetes. - Make a diabetes meal plan with help from your health care team.   - Choose foods that are lower in calories, saturated fat, trans fat, sugar, and salt.   - Eat foods with more fiber, such as whole grain cereals, breads, crackers, rice, or pasta.   - Choose foods such as fruits, vegetables, whole grains, bread and cereals, and low-fat or skim milk and cheese.   - Drink water instead of juice and regular soda.   - When eating a meal, fill half of your plate with fruits and vegetables, one quarter with a lean protein, such as beans, or chicken or turkey without the skin, and one quarter with a whole grain, such as brown rice or whole wheat pasta. Make a diabetes meal plan with help from your health care team. Choose foods that are lower in calories, saturated fat, trans fat, sugar, and salt. Eat foods with more fiber, such as whole grain cereals, breads, crackers, rice, or pasta. Choose foods such as fruits, vegetables, whole grains, bread and cereals, and low-fat or skim milk and cheese. Drink water instead of juice and regular soda. When eating a meal, fill half of your plate with fruits and vegetables, one quarter with a lean protein, such as beans, or chicken or turkey without the skin, and one quarter with a whole grain, such as brown rice or whole wheat pasta. For more about healthy eating and older adults see  ""Eating Well as You Get Older."" Be Physically Active Get at least 30 minutes of exercise at least five days a week. Regular exercise reduces diabetes risk in several ways. It - helps you lose weight  - controls your cholesterol and blood pressure  -  improves your body's use of insulin.  helps you lose weight controls your cholesterol and blood pressure improves your body's use of insulin. Many people make walking part of their daily routine because its easy, fun and convenient. But you can choose any activity that gets you moving. Its fine to break up your 30 minutes of exercise into smaller increments, such as three 10-minute periods. Check with your doctor before beginning any exercise program. Many people make walking part of their daily routine because its easy, fun and convenient. But you can choose any activity that gets you moving. Its fine to break up your 30 minutes of exercise into smaller increments, such as three 10-minute periods. Check with your doctor before beginning any exercise program. For more information on exercise and older adults, see  Exercises to Try or visit Go4Life, the exercise and physical activity campaign for older adults from the National Institute on Aging.",NIHSeniorHealth,Diabetes
1,What are the symptoms of Diabetes ?,"Diabetes is often called a ""silent"" disease because it can cause serious complications even before you have symptoms. Symptoms can also be so mild that you dont notice them. An estimated 8 million people in the United States have type 2 diabetes and dont know it, according to 2012 estimates by the Centers for Disease Control and Prevention (CDC). Common Signs Some common symptoms of diabetes are: - being very thirsty  - frequent urination  - feeling very hungry or tired  - losing weight without trying  - having sores that heal slowly  - having dry, itchy skin  - loss of feeling or tingling in the feet  - having blurry eyesight. being very thirsty frequent urination feeling very hungry or tired losing weight without trying having sores that heal slowly having dry, itchy skin loss of feeling or tingling in the feet having blurry eyesight. Signs of type 1 diabetes usually develop over a short period of time. The signs for type 2 diabetes develop more gradually. Tests for Diabetes The following tests are used to diagnose diabetes or prediabetes. - An A1C test measures your average blood glucose levels over the past 3 months. It can be used to diagnose type 2 diabetes and prediabetes. It does not require fasting and blood can be drawn for the test any time of the day.  An A1C test measures your average blood glucose levels over the past 3 months. It can be used to diagnose type 2 diabetes and prediabetes. It does not require fasting and blood can be drawn for the test any time of the day. - A fasting plasma glucose, or FPG test, measures your blood glucose after you have gone at least 8 hours without eating. Doctors use this test to detect diabetes or prediabetes.  A fasting plasma glucose, or FPG test, measures your blood glucose after you have gone at least 8 hours without eating. Doctors use this test to detect diabetes or prediabetes. - In a random plasma glucose test, your doctor checks your blood glucose without regard to when you ate your last meal. This test, along with an assessment of symptoms, is used to diagnose diabetes but not prediabetes.  In a random plasma glucose test, your doctor checks your blood glucose without regard to when you ate your last meal. This test, along with an assessment of symptoms, is used to diagnose diabetes but not prediabetes. - An oral glucose tolerance test, or OGTT, measures your blood glucose after you have gone at least 8 hours without eating and 2 hours after you drink a sweet beverage. Doctors also use the oral glucose tolerance test to diagnose gestational diabetes in pregnant women.  An oral glucose tolerance test, or OGTT, measures your blood glucose after you have gone at least 8 hours without eating and 2 hours after you drink a sweet beverage. Doctors also use the oral glucose tolerance test to diagnose gestational diabetes in pregnant women. If any of these tests show that you might have diabetes, your doctor will need to repeat the test with a second measurement unless there are clear symptoms of diabetes. Get more details about tests for diabetes. Who Should Get Tested? Because type 2 diabetes is more common in older people, anyone who is 45 or older should consider getting tested. If you are 45 or older and overweight, getting tested is strongly recommended. If you are younger than 45, overweight, and have one or more risk factors, you also should talk with your doctor about being tested. See risk factors for type 2 diabetes. Why Early Detection is Important Diabetes is a serious disease that can lead to a number of health problems such as heart disease, stroke, vision problems, kidney disease and even death. Sometimes people have symptoms but do not suspect diabetes. They delay scheduling a checkup because they do not feel sick. Many people do not find out they have the disease until they have diabetes complications, such as a heart attack or stroke. Finding out early if you have diabetes is important because treatment can prevent or delay the complications of the disease.",NIHSeniorHealth,Diabetes
1,What are the treatments for Diabetes ?,"Diabetes cannot be cured, but it can be managed. Managing blood glucose (blood sugar) as well as blood pressure and cholesterol is the best defense against the serious complications of diabetes. Know What To Do Every Day To manage your diabetes, here are things to do every day.  -  Take your medicines.   -  Keep track of your blood glucose (blood sugar).   -  Check your blood pressure if your doctor advises.   -  Check your feet.   -  Brush your teeth and floss.   -  Stop smoking.   -  Eat well.   -  Be active.  Take your medicines. Keep track of your blood glucose (blood sugar). Check your blood pressure if your doctor advises. Check your feet. Brush your teeth and floss. Stop smoking. Eat well. Be active. (Watch the video to learn more about what one woman does to manage her diabetes every day. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) Take Your Diabetes Medicines People with type 1 diabetes control their blood sugar with insulin -- delivered either by injection or with a pump. Many people with type 2 diabetes can control blood glucose levels with diet and exercise alone. Others require oral medications or insulin, and some may need both, as well as lifestyle modification. Ask your doctor if you need to take aspirin every day to prevent a heart attack or stroke. Keep Track of Your Blood Glucose One of the best ways to find out how well you are taking care of your diabetes is to check your blood to see how much glucose is in it. If your blood has too much or too little glucose, you may need a change in your meal plan, exercise plan, or medication. Ask your doctor how often you should check your blood glucose. Some people check their blood glucose once a day. Others do it three a day or even more. You may be told to check before eating, before bed, and sometimes in the middle of the night. Your doctor or diabetes educator will show you how to check your blood using a blood glucose meter. Your health insurance or Medicare may pay for some of the supplies and equipment you need to check your glucose levels.  See what diabetes supplies and services Medicare covers.  Check Your Blood Pressure Check your blood pressure if your doctor advises and keep a record of it. You can check your pressure at home with a home blood pressure measurement device or monitor. Blood pressure monitors can be bought at discount chain stores and drug stores. When you are taking your blood pressure at home, sit with your back supported and your feet flat on the floor. Rest your arm on a table at the level of your heart. Check with your health care provider to make sure you are using the monitor correctly. Check Your Feet Foot care is very important for people with diabetes. High blood glucose levels and a reduced blood supply to the limbs cause nerve damage that reduces feeling in the feet. Someone with nerve damage may not feel a pebble inside his or her sock that is causing a sore. Or a blister caused by poorly fitting shoes may go unnoticed. Foot injuries such as these can cause ulcers, which may, if not cared for, ultimately lead to the need for amputation. If you have diabetes, - check your feet every day and watch for any cuts, sores, red spots, swelling, and infected toenails.   - report sores, blisters, breaks in the skin, infections, or buildup of calluses to a podiatrist or a family doctor.   - never walk barefoot.   - have your feet checked at every doctor visit.   - take your shoes and socks off when you go into the examining room. This will remind the doctor to check your feet.  check your feet every day and watch for any cuts, sores, red spots, swelling, and infected toenails. report sores, blisters, breaks in the skin, infections, or buildup of calluses to a podiatrist or a family doctor. never walk barefoot. have your feet checked at every doctor visit. take your shoes and socks off when you go into the examining room. This will remind the doctor to check your feet. Learn more about taking care of your feet. Brush Your Teeth and Floss People with diabetes can have tooth and gum problems more often if their blood glucose stays high. High blood glucose also can make tooth and gum problems worse. You can even lose your teeth. Here are ways to protect your teeth and gums. -  Keep your blood glucose as close to normal as possible.   - Use dental floss at least once a day. Flossing helps prevent the buildup of plaque on your teeth. Plaque can harden and grow under your gums and cause problems. Using a sawing motion, gently bring the floss between the teeth, scraping from bottom to top several times.   - Brush your teeth after each meal and snack. Use a soft toothbrush. Turn the bristles against the gum line and brush gently. Use small, circular motions. Brush the front, back, and top of each tooth.  - If you wear false teeth, keep them clean.  - Call your dentist right away if you have problems with your teeth and gums. Keep your blood glucose as close to normal as possible. Use dental floss at least once a day. Flossing helps prevent the buildup of plaque on your teeth. Plaque can harden and grow under your gums and cause problems. Using a sawing motion, gently bring the floss between the teeth, scraping from bottom to top several times. Brush your teeth after each meal and snack. Use a soft toothbrush. Turn the bristles against the gum line and brush gently. Use small, circular motions. Brush the front, back, and top of each tooth. If you wear false teeth, keep them clean. Call your dentist right away if you have problems with your teeth and gums.  Learn more about how diabetes can affect your mouth and teeth. Stop Smoking If you smoke, stop. Smoking raises your risk for many diabetes problems, including heart attack and stroke. Ask for help to quit. Call 1-800 QUITNOW (1-800-784-8669). For more information on smoking and older adults, see  Quitting Smoking for Older Adults.  Eat Well People with diabetes don't need to buy or prepare special foods. The foods that are best for someone with diabetes are excellent choices for everyone: foods that are low in fat, salt, and sugar, and high in fiber, such as beans, fruits, vegetables, and whole grains. These foods help you reach and stay at a weight that's good for your body, keep your blood pressure, glucose and cholesterol in a desirable range, and prevent or delay heart and blood vessel disease. For more on healthy eating, see Small Steps for Eating Healthy Foods. Be Active Try to exercise almost every day for a total of about 30 to 60 minutes. If you haven't exercised lately, begin slowly. Start with 5 to 10 minutes, and then add more time. Or exercise for 10 minutes, three times a day. (Tip: you dont need to get your exercise in all at one time.) For more information on exercise and older adults, see Exercise: How to Get Started or visit  Go4Life, the exercise and physical activity campaign for older adults from the National Institute on Aging. Be sure to check with your doctor before starting an exercise program. Other Areas To Manage Here are other areas to manage if you have diabetes. - Take care of your eyes.   - Protect your kidneys.  -  Protect your skin.  - Learn how to cope with stress.  Take care of your eyes. Protect your kidneys. Protect your skin. Learn how to cope with stress. Take Care of Your Eyes High blood glucose and high blood pressure from diabetes can hurt your eyes. It can even cause blindness, or other painful eye problems. Here are ways to prevent diabetes eye problems. - Keep your blood glucose and blood pressure as close to normal as you can.   - Have an eye care professional examine your eyes once a year. Have this exam even if your vision is okay.  Keep your blood glucose and blood pressure as close to normal as you can. Have an eye care professional examine your eyes once a year. Have this exam even if your vision is okay.  Learn more about eye disease and diabetes. Protect Your Kidneys High blood glucose and high blood pressure may damage the kidneys. Damaged kidneys do not do a good job of filtering out wastes and extra fluid. Here are ways to prevent diabetes kidney problems. - Keep your blood glucose and blood pressure as close to your target goal as you can.  - Get tested at least once a year for kidney disease. Ask your doctor if you should be tested.   - Follow the healthy eating plan you work out with your doctor or dietitian. If you already have kidney problems, your dietitian may suggest you cut back on protein.  Keep your blood glucose and blood pressure as close to your target goal as you can. Get tested at least once a year for kidney disease. Ask your doctor if you should be tested. Follow the healthy eating plan you work out with your doctor or dietitian. If you already have kidney problems, your dietitian may suggest you cut back on protein. Learn more about keeping your kidneys healthy. Protect Your Skin Skin care is very important, too. Because people with diabetes may have more injuries and infections, they should protect their skin by keeping it clean and taking care of minor cuts and bruises. Learn How To Cope With Stress Stress can raise your blood glucose (blood sugar). While it is hard to remove stress from your life, you can learn to handle it. Try deep breathing, gardening, taking a walk, meditating, working on your hobby, or listening to your favorite music.",NIHSeniorHealth,Diabetes
1,What is (are) Diabetes ?,"Diabetes means your blood glucose (often called blood sugar) is too high. Your blood always has some glucose in it because your body needs glucose for energy to keep you going. But too much glucose in the blood isn't good for your health. Glucose comes from the food you eat and is also made in your liver and muscles. Your blood carries the glucose to all of the cells in your body. Insulin is a chemical (a hormone) made by the pancreas. The pancreas releases insulin into the blood. Insulin helps the glucose from food get into your cells. If your body does not make enough insulin or if the insulin doesn't work the way it should, glucose can't get into your cells. It stays in your blood instead. Your blood glucose level then gets too high, causing pre-diabetes or diabetes.",NIHSeniorHealth,Diabetes
1,What is (are) Diabetes ?,"Type 1 diabetes, which used to be called called juvenile diabetes or insulin-dependent diabetes, develops most often in young people. However, type 1 diabetes can also develop in adults. With this form of diabetes, your body no longer makes insulin or doesnt make enough insulin because your immune system has attacked and destroyed the insulin-producing cells. About 5 to 10 percent of people with diabetes have type 1 diabetes. To survive, people with type 1 diabetes must have insulin delivered by injection or a pump. Learn more about type 1 diabetes here.  Learn more about type 1 diabetes here. Type 2 diabetes, which used to be called adult-onset diabetes or non insulin-dependent diabetes, is the most common form of diabetes. Although people can develop type 2 diabetes at any age -- even during childhood -- type 2 diabetes develops most often in middle-aged and older people. Type 2 diabetes usually begins with insulin resistancea condition that occurs when fat, muscle, and liver cells do not use insulin to carry glucose into the bodys cells to use for energy. As a result, the body needs more insulin to help glucose enter cells. At first, the pancreas keeps up with the added demand by making more insulin. Over time, the pancreas doesnt make enough insulin when blood sugar levels increase, such as after meals. If your pancreas can no longer make enough insulin, you will need to treat your type 2 diabetes.  Learn more about type 2 diabetes here.",NIHSeniorHealth,Diabetes
1,What is (are) Diabetes ?,"Prediabetes means your blood glucose levels are higher than normal but not high enough for a diagnosis of diabetes. In 2012, about 86 million people in the U.S. had prediabetes, and 51% of those 65 or older had prediabetes. People with prediabetes are at an increased risk for developing type 2 diabetes and for heart disease and stroke. The good news is that if you have prediabetes, you can reduce your risk of getting type 2 diabetes. With modest weight loss and moderate physical activity, you can delay or prevent type 2 diabetes.  Learn more about prediabetes here.",NIHSeniorHealth,Diabetes
1,What is (are) Diabetes ?,"Studies have shown that most people with prediabetes develop type 2 diabetes within a few years, unless they change their lifestyle. Most people with prediabetes dont have any symptoms. Your doctor can test your blood to find out if your blood glucose levels are higher than normal. Losing weightat least 5 to 10 percent of your starting weightcan prevent or delay diabetes or even reverse prediabetes. Thats 10 to 20 pounds for someone who weighs 200 pounds. You can lose weight by cutting the amount of calories and fat you consume and by being physically active at least 30 to 60 minutes every day. Physical activity also helps your body use the hormone insulin properly. Your body needs insulin to use glucose for energy. Medicine can help control the amount of glucose in your blood. Ask your doctor if medicine to control glucose is right for you. Learn more about prediabetes here.",NIHSeniorHealth,Diabetes
1,What are the symptoms of Diabetes ?,"Many people with diabetes experience one or more symptoms, including extreme thirst or hunger, a frequent need to urinate and/or fatigue. Some lose weight without trying. Additional signs include sores that heal slowly, dry, itchy skin, loss of feeling or tingling in the feet and blurry eyesight. Some people with diabetes, however, have no symptoms at all.",NIHSeniorHealth,Diabetes
