id,text,question,answers
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5565/572818f54b864d190016446c,"It is usually recognized that lawbreaking, if it is not done publicly, at least must be publicly announced in order to constitute civil disobedience. But Stephen Eilmann argues that if it is necessary to disobey rules that conflict with morality, we might ask why disobedience should take the form of public civil disobedience rather than simply covert lawbreaking. If a lawyer wishes to help a client overcome legal obstacles to securing her or his natural rights, he might, for instance, find that assisting in fabricating evidence or committing perjury is more effective than open disobedience. This assumes that common morality does not have a prohibition on deceit in such situations. The Fully Informed Jury Association's publication ""A Primer for Prospective Jurors"" notes, ""Think of the dilemma faced by German citizens when Hitler's secret police demanded to know if they were hiding a Jew in their house."" By this definition, civil disobedience could be traced back to the Book of Exodus, where Shiphrah and Puah refused a direct order of Pharaoh but misrepresented how they did it. (Exodus 1: 15-19)",If law breaking is not done in a public manor it is not considered what term?,"[{'text': 'lawbreaking', 'start': 30, 'end': 41}, {'text': 'civil disobedience', 'start': 130, 'end': 148}]"
isaacus--legalqaeval/yang--hotpotqa/hotpot_dev_distractor_v1/3951/5a74f7405542996c70cfae59,"Concerned Republicans, formed in December 2006, is an umbrella political groups which plans to run independent republican candidates in the 2007 Northern Ireland Assembly election on a manifesto of non-endorsement of the Police Service of Northern Ireland and would be anti-Good Friday Agreement and anti-St Andrews Agreement.

The Prior of St Andrews was the head of the property and community of Augustinian canons of St Andrews Cathedral Priory, St Andrews, Fife, Scotland. It was established by King David I in 1140 with canons from Nostell Priory, West Yorkshire. It is possible that, initially at least, the prior of St Andrews was subordinate to the bishop as abbot, but by the 13th century the canons of St Andrews were given freedom by the bishop to elect their prior. By the end of the 13th century, the abbacy of the native canons (i.e. the ""Céli Dé"", or Culdees) was no longer there to challenge the position of the priory, and the native canons themselves had been formed into a collegiate church.

The St Andrews Agreement (Irish: ""Comhaontú Chill Rímhinn"" ; Ulster Scots: ""St Andra's 'Greement"", ""St Andrew's Greeance"" or ""St Andrae's Greeance"") was an agreement between the British and Irish governments and Northern Ireland's political parties in relation to the devolution of power in the region. The agreement resulted from multi-party talks held in St Andrews in Fife, Scotland, from 11 to 13 October 2006, between the two governments and all the major parties in Northern Ireland, including the two largest, the Democratic Unionist Party (DUP) and Sinn Féin. It resulted in the restoration of the Northern Ireland Assembly, the formation (on 8 May 2007) of a new Northern Ireland Executive and a decision by Sinn Féin to support the Police Service of Northern Ireland, courts and rule of law.","Which agreement resulted from multi-party talks held in St Andrews in Fife, Scotland and was opposed by the Concerned Republicans?","[{'text': 'The St Andrews Agreement', 'start': 1012, 'end': 1036}]"
isaacus--legalqaeval/yang--hotpotqa/hotpot_dev_distractor_v1/127/5a7b12a355429927d897bf2a,"George de Dunbar, 11th Earl of Dunbar & March Lord of Annandale and the Isle of Man, (c. 1370 – after 1457) was the last of his family to hold these titles.

Columba de Dunbar ( 1386 – 1435) was Bishop of Moray from 1422 until his death at Spynie Palace near Elgin sometime before 7 November 1435.

Spynie Palace, also known as Spynie Castle, was the fortified seat of the Bishops of Moray for about 500 years. The founding of the palace dates back to the late 12th Century. It is situated at Grid Ref NJ 230658, about 500m from the location of the first officially settled Cathedral Church of the Diocese of Moray, in present-day Spynie Churchyard. For most of its occupied history, the castle was not described as a ""palace"" — this term first appeared in the Registry of Moray in a writ of 1524.",When was the palace founded at which Columba de Dunbar died in 1435?,"[{'text': 'the late 12th Century', 'start': 452, 'end': 473}]"
isaacus--legalqaeval/google--natural-questions/nq.test/3680/2541316470469570888,"A simple sentence consists of only one clause. A compound sentence consists of two or more independent clauses. A complex sentence has at least one independent clause plus at least one dependent clause. A set of words with no independent clause may be an incomplete sentence, also called a sentence fragment.",what kind of sentence contains an independent clause and a dependent clause,"[{'text': 'A complex sentence', 'start': 112, 'end': 130}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5583/57281c594b864d19001644a5,"There have been debates as to whether civil disobedience must necessarily be non-violent. Black's Law Dictionary includes non-violence in its definition of civil disobedience. Christian Bay's encyclopedia article states that civil disobedience requires ""carefully chosen and legitimate means,"" but holds that they do not have to be non-violent. It has been argued that, while both civil disobedience and civil rebellion are justified by appeal to constitutional defects, rebellion is much more destructive; therefore, the defects justifying rebellion must be much more serious than those justifying disobedience, and if one cannot justify civil rebellion, then one cannot justify a civil disobedients' use of force and violence and refusal to submit to arrest. Civil disobedients' refraining from violence is also said to help preserve society's tolerance of civil disobedience.",People behaving with civil disobedience that is not-violent is said to make society have more of what?,"[{'text': 'tolerance of civil disobedience', 'start': 846, 'end': 877}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/3055/5726926a5951b619008f770c,"Commissioners have various privileges, such as being exempt from member state taxes (but not EU taxes), and having immunity from prosecution for doing official acts. Commissioners have sometimes been found to have abused their offices, particularly since the Santer Commission was censured by Parliament in 1999, and it eventually resigned due to corruption allegations. This resulted in one main case, Commission v Edith Cresson where the European Court of Justice held that a Commissioner giving her dentist a job, for which he was clearly unqualified, did in fact not break any law. By contrast to the ECJ's relaxed approach, a Committee of Independent Experts found that a culture had developed where few Commissioners had 'even the slightest sense of responsibility'. This led to the creation of the European Anti-fraud Office. In 2012 it investigated the Maltese Commissioner for Health, John Dalli, who quickly resigned after allegations that he received a €60m bribe in connection with a Tobacco Products Directive. Beyond the Commission, the European Central Bank has relative executive autonomy in its conduct of monetary policy for the purpose of managing the euro. It has a six-person board appointed by the European Council, on the Council's recommendation. The President of the Council and a Commissioner can sit in on ECB meetings, but do not have voting rights.",The corruption found by the Committee of Independent Experts resulted to the creation of what office?,"[{'text': 'the European Anti-fraud Office', 'start': 801, 'end': 831}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/71212/1019014/3,"All three paragraphs start out well with a topic sentence. A topic sentence is a sentence whose main idea or claim controls the rest of the paragraph; the body of a paragraph explains, develops or supports with evidence the topic sentence's main idea or claim. The topic sentence is usually the first sentence of a paragraph, but not necessarily. It may come, for example, after a transition sentence; it may even come at the end of a paragraph. Topic sentences are not the only way to organize a paragraph, and not all paragraphs need a topic sentence. For example, paragraphs that describe, narrate, or detail the steps in an experiment do not usually need topic sentences. Topic sentences are useful, however, in paragraphs that analyze and argue.",which sentence does the topic sentence follow,"[{'text': 'The topic sentence is usually the first sentence of a paragraph, but not necessarily.', 'start': 261, 'end': 346}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/963/57094a79efce8f15003a7dc7,"Following a lengthy legal battle with the European Commission, which deemed the exclusivity of the rights to be against the interests of competition and the consumer, BSkyB's monopoly came to an end from the 2007–08 season. In May 2006, the Irish broadcaster Setanta Sports was awarded two of the six Premier League packages that the English FA offered to broadcasters. Sky picked up the remaining four for £1.3bn. In February 2015, Sky bid £4.2bn for a package of 120 premier league games across the three seasons from 2016. This represented an increase of 70% on the previous contract and was said to be £1bn more than the company had expected to pay. The move has been followed by staff cuts, increased subscription prices (including 9% in Sky's family package) and the dropping of the 3D channel.",How much did Sky bid to win the 4 broadcast pacakges they bought?,"[{'text': '£1.3bn', 'start': 407, 'end': 413}, {'text': '£4.2bn', 'start': 441, 'end': 447}]"
isaacus--legalqaeval/microsoft--ms-marco/validation/00000/63481/563574/1,"The predicate is the part of a sentence that includes the verb and verb phrase. The predicate of The boys went to the zoo is went to the zoo.. We change the pronunciation of this noun (PRED-uh-kit) when we turn it into a verb (PRED-uh-kate). The verb predicate means to require something as a condition of something else, and we use this term mostly in connection with logic, mathematics, or rhetoric. To predicate your argument on certain facts is to use those facts as evidence.",what are predicates,"[{'text': 'The predicate is the part of a sentence that includes the verb and verb phrase.', 'start': 0, 'end': 79}]"
isaacus--legalqaeval/stanford--squad-v2/validation/00000/5586/5728df634b864d1900164fe3,"There have been debates as to whether civil disobedience must necessarily be non-violent. Black's Law Dictionary includes non-violence in its definition of civil disobedience. Christian Bay's encyclopedia article states that civil disobedience requires ""carefully chosen and legitimate means,"" but holds that they do not have to be non-violent. It has been argued that, while both civil disobedience and civil rebellion are justified by appeal to constitutional defects, rebellion is much more destructive; therefore, the defects justifying rebellion must be much more serious than those justifying disobedience, and if one cannot justify civil rebellion, then one cannot justify a civil disobedients' use of force and violence and refusal to submit to arrest. Civil disobedients' refraining from violence is also said to help preserve society's tolerance of civil disobedience.","When violence is used, what is civil disobedience sometimes called?","[{'text': 'civil rebellion', 'start': 404, 'end': 419}, {'text': 'rebellion', 'start': 471, 'end': 480}, {'text': 'civil rebellion', 'start': 639, 'end': 654}]"
